full_name,profession_id,profession_group_id,gender,date_of_birth,hire_date,resignation_date
Wawan Saputra,20,2,M,1989-04-14,2023-05-22,
"M.Kep, Fitri Sugiarto",3,1,F,1967-11-01,2001-05-01,
"Yuliana Panjaitan, M.Kep",3,1,F,1979-02-27,2005-02-07,
"A.Md.RMIK, Kusuma Situmorang",16,2,M,2002-02-21,2025-07-03,
"Ani Firmansyah, dr. Sp.RM",2,1,F,2003-01-20,2024-02-19,
"Elia Maulana, S.Ft",10,1,F,1972-07-26,1998-11-30,
"MARS, Elia Hutabarat",14,2,F,1981-07-19,2009-06-29,2018-02-19
"M.M, Oki Suryanto",17,2,M,2001-02-23,2021-05-15,
"S.E, Susilo Sinaga",18,2,M,1966-03-19,1992-06-09,
Tiara Pasaribu,19,2,F,2000-08-03,2018-09-30,
Indra Hutabarat,19,2,M,1993-06-07,2012-04-22,
"S.Adm, Ahmad Pasaribu",17,2,M,2000-11-29,2018-11-22,
Putri Susanto,3,1,F,1989-02-20,2024-05-23,
"Tiara Panjaitan, S.E",17,2,F,1974-10-07,1996-01-29,
"A.Md.Kep, Haris Hutabarat",3,1,M,1987-08-19,2010-10-10,
Sari Suryanto,20,2,F,1989-05-24,2007-12-03,
"Lina Malik, A.Md.Kep",3,1,F,1990-11-18,2018-02-18,
"Vina Sinaga, Sp.Kep",3,1,F,1967-04-23,1997-06-19,
"Nur Wibowo, Sp.Kep",3,1,F,1995-02-13,2015-06-03,
"S.Ked, Wati Maulana",1,1,F,1987-05-31,2024-08-10,
"Kartika Hakim, SST",7,1,F,1976-05-20,1997-10-23,
"Dwi Wijayanto, S.Sos",17,2,M,1982-11-22,2013-03-04,
"Retno Simbolon, Sp.Kep",3,1,F,1997-12-08,2018-09-05,2024-07-24
"Hesti Susanto, A.Md.Kep",3,1,F,1984-05-26,2006-07-30,
"M.KM, Hadi Rahman",16,2,M,1986-05-11,2009-04-01,
Yuliana Wijaya,23,2,F,1972-04-01,1995-08-15,
Kurniawan Wijayanto,20,2,M,1972-07-14,1999-10-04,
"Eko Sinaga, A.Md",17,2,M,1992-06-16,2011-06-05,2019-03-29
"S.E, Sari Santoso",17,2,F,1986-02-24,2006-03-29,
"Putri Putra, S.Adm",17,2,F,1997-09-09,2018-08-10,2021-10-13
Gilang Priyanto,17,2,M,1968-05-31,2006-12-26,
Indra Simbolon,19,2,M,1996-04-10,2017-07-02,
"Zahra Wibowo, Dr.",3,1,F,1984-03-03,2002-05-07,
"RD, Farhan Wijayanto",11,1,M,1985-03-13,2007-10-29,
Mira Suprapto,22,2,F,1967-06-13,2000-12-07,
"Linda Maulana, S.Adm.Kes",13,2,F,1981-12-30,2004-06-30,
Fajar Suprapto,1,1,M,1965-05-10,1985-07-06,
"Endah Permana, A.Md.Rad",7,1,F,1973-09-05,1992-08-30,
Yuni Maulana,20,2,F,1993-11-06,2015-05-23,
"Kusuma Kusuma, M.T",15,2,M,1996-11-24,2022-03-26,
"A.Md.Rad, Mira Wijayanto",7,1,F,1978-10-27,2003-06-22,
"dr., Nur Hidayat",1,1,F,1971-09-23,1990-05-02,
"A.Md.ELM, Made Raharjo",6,1,M,1987-10-04,2013-07-02,
"Jaya Sitompul, dr. Sp.KJ",2,1,M,1982-07-25,2012-06-20,2016-08-31
"S.T, Cahyo Wijaya",24,2,M,1994-12-03,2013-04-17,
"Wahyu Priyanto, MD",1,1,M,1999-03-04,2021-10-08,
Budi Suprapto,20,2,M,1992-07-29,2014-10-31,
Anisa Hutabarat,1,1,F,1971-02-04,2007-03-13,
Gunawan Kusuma,22,2,M,1966-02-04,2006-04-17,
"S.KM, Zainal Simbolon",16,2,M,1987-08-06,2006-01-13,
"Ahmad Sari, MBBS",1,1,M,1973-09-18,1996-11-23,2015-07-26
Zahra Budiman,3,1,F,1967-07-28,1992-05-27,
"S.KM, Ika Suprapto",16,2,F,1995-12-12,2022-11-19,
"dr. Sp.KJ, Tiara Sugiarto",2,1,F,1997-02-03,2017-01-13,
Vina Situmorang,19,2,F,1985-07-02,2005-05-01,
"Sp.Kep, Mega Situmorang",3,1,F,1989-03-10,2021-06-20,
"Tiara Gunawan, S.KM",25,2,F,1967-10-04,1990-09-12,
"Nugroho Pratama, S.E",17,2,M,1992-09-23,2025-06-09,
Gilang Manurung,19,2,M,2003-04-17,2023-09-21,
"S.Tr.Rad, Wawan Simanjuntak",7,1,M,1967-09-08,1995-09-07,1997-11-12
"Sp.Kep, Dewi Saputra",3,1,F,1996-04-20,2022-05-10,
"Anisa Hutabarat, dr.",1,1,F,1998-08-19,2020-07-10,
"Fitri Utomo, Dr.",3,1,F,1992-07-10,2024-06-14,
Ningsih Malik,23,2,F,1967-09-29,1992-04-25,
"A.Md.Kep, Yanti Lubis",3,1,F,1998-05-21,2020-08-28,
"MBBS, Ade Putra",1,1,M,1994-06-06,2014-11-13,
"Farhan Santoso, dr. Sp.Rad",2,1,M,1995-11-13,2025-10-22,
"Kurniawan Malik, Bd.",4,1,M,1968-11-23,2001-02-16,
Dwi Wijaya,19,2,M,1977-10-07,2010-11-17,
Purwanto Hutapea,5,1,M,1994-08-02,2018-10-14,
"Kusuma Putra, dr. Sp.PD",2,1,M,1974-06-03,1993-09-27,2003-09-13
"Eko Hutabarat, S.Ked",1,1,M,1969-09-22,1992-06-16,
"Sp.Kep, Wati Utomo",3,1,F,1992-02-14,2016-04-18,
"Rina Putra, M.Kep",3,1,F,1967-11-19,1998-12-02,
"S.Tr.Kes, Slamet Hutabarat",21,2,M,1994-11-17,2018-10-06,
Ahmad Wijaya,19,2,M,1997-09-06,2023-03-05,
Sinta Utomo,3,1,F,1974-04-20,2011-03-23,
"Wawan Kurniawan, MD",1,1,M,1985-10-05,2015-03-13,
Teguh Hutapea,20,2,M,1982-10-23,2019-10-09,
"A.Md.Kep, Rini Simanjuntak",3,1,F,1973-09-19,1991-10-13,
"Ade Saputra, dr. Sp.A",2,1,M,1971-08-11,1992-02-13,
Kurniawan Sitompul,5,1,M,1990-05-02,2018-01-31,
"dr., Indah Maulana",1,1,F,1985-05-10,2018-10-02,
"Teguh Susanto, S.Kep",3,1,M,1969-02-05,2002-04-15,2008-07-04
"Ningsih Hermawan, A.Md.Kep",3,1,F,1977-11-25,2009-03-24,2017-01-18
"Hendra Siahaan, M.Gz",11,1,M,1993-06-05,2023-05-11,
"Yoga Nasution, Ners",3,1,M,1969-04-06,1991-06-24,
"Ners, Wahyu Prabowo",3,1,M,1983-10-11,2020-04-26,
"Wawan Wibowo, M.M",17,2,M,1969-11-25,1991-08-01,
"Ratna Hakim, MD",1,1,F,1991-01-22,2017-02-20,
"S.Ak, Zainal Kusuma",18,2,M,2002-09-11,2023-11-30,
Dewi Putra,8,1,F,1998-08-24,2016-08-28,
"Made Prasetyo, S.Ft",10,1,M,1991-09-25,2020-04-17,
"Indra Putra, Ners",3,1,M,1981-02-26,2020-09-07,
Kusuma Simanjuntak,5,1,M,1985-04-11,2004-10-07,
"Mega Widodo, S.Adm",17,2,F,1988-03-27,2011-08-24,
"A.Md.Kep, Yuni Situmorang",3,1,F,1994-09-05,2023-10-21,
Rahmat Hermawan,19,2,M,1993-11-26,2017-12-03,
"Zara Setiawan, Dr.",3,1,F,1974-04-16,2001-09-17,
Agus Hidayat,19,2,M,1999-08-15,2018-11-04,
"Iwan Nasution, S.Tr.RMIK",16,2,M,1973-08-23,1996-10-03,
Ratna Manurung,3,1,F,2003-12-23,2023-02-25,
"Firmansyah Kurniawan, S.Tr.ELM",6,1,M,1990-12-15,2021-06-18,2024-02-29
"M.Kep, Elia Raharjo",3,1,F,1991-08-31,2021-12-13,
"M.Kes, Lukas Utomo",5,1,M,2002-02-15,2020-06-14,
"S.Sos, Maya Kusuma",17,2,F,1991-03-11,2016-04-29,
"Lestari Priyanto, MBA",13,2,F,1988-07-08,2014-01-29,
"M.Kep, Nadia Situmorang",3,1,F,1982-04-16,2011-08-29,
"Usman Pratama, SST",7,1,M,1979-02-26,2018-02-18,
Bella Hakim,20,2,F,1974-04-21,1995-06-10,
"Ners, Ratna Sari",3,1,F,1993-07-19,2022-07-27,
"A.Md.T, Tiara Simbolon",24,2,F,1971-10-24,2011-04-19,
"M.Kep, Yuliana Saputra",3,1,F,1969-08-23,2005-09-21,
"Tri Hakim, Ners",3,1,F,1966-04-16,1990-01-30,
"Nugroho Wibowo, A.Md",17,2,M,1993-08-20,2011-06-28,
"Sari Kurniawan, S.Ked",1,1,F,2000-12-13,2019-05-14,
Gilang Widodo,20,2,M,1990-01-21,2010-08-04,
"dr. Sp.KK, Kurniawan Hutapea",2,1,M,2002-03-02,2024-04-24,
"Retno Budiman, Sp.Farm",9,1,F,1997-10-16,2022-12-29,
"A.Md.RMIK, Yuni Siregar",16,2,F,1994-01-13,2023-05-31,
Widya Nugroho,19,2,F,1995-12-23,2024-12-11,
Lestari Simbolon,1,1,F,1981-10-14,2019-11-20,
"Mira Saputra, dr. Sp.An",2,1,F,1971-09-12,1989-04-01,
"Fitri Lubis, S.Sos",17,2,F,1997-08-27,2023-02-17,
"Anisa Budiman, dr. Sp.PD",2,1,F,1994-05-26,2022-09-09,
"Jaya Hakim, A.Md.Kes",5,1,M,1976-10-12,1995-01-28,
"Hesti Maulana, A.Md.Keb",4,1,F,1981-12-05,2020-09-28,
"Agus Utomo, A.Md.Kes",5,1,M,2002-11-04,2022-09-16,
Budi Nasution,3,1,M,1971-09-03,2010-12-16,
"Dwi Pasaribu, A.Md",17,2,M,1974-06-10,1997-08-20,
"Susilo Budiman, M.M",17,2,M,1976-06-25,2007-03-03,
"Sp.Kep, Citra Saputra",3,1,F,1972-09-20,2008-05-30,2009-06-04
"Lina Pratama, Dr.",3,1,F,1983-04-15,2018-03-06,
"drg. Sp.BM, Nanang Simanjuntak",2,1,M,1967-01-18,2007-12-30,
"Kusuma Malik, S.KM",16,2,M,1971-10-05,1990-03-21,
Cahyo Budiman,19,2,M,1966-05-27,1986-11-15,
"Mega Lubis, Sp.Kep",3,1,F,1971-02-12,1996-07-10,
Sinta Santoso,20,2,F,1983-05-03,2002-06-25,
Lestari Utomo,4,1,F,1998-03-16,2021-01-18,
"Ners, Rudi Hakim",3,1,M,1983-04-08,2011-07-17,
"S.Farm, Fajar Kurniawan",9,1,M,1982-02-13,2000-07-31,
"S.Ft, Galih Nugroho",10,1,M,1992-11-27,2013-10-13,
Sinta Setiawan,20,2,F,1965-11-27,1995-11-17,
Nur Setiadi,7,1,F,1984-06-07,2007-11-07,
"Retno Sinaga, M.Kep",3,1,F,1994-06-14,2022-10-31,2025-02-17
"Vera Wijayanto, Dr.",3,1,F,1991-01-11,2023-02-05,
"S.T, Dewi Wibowo",6,1,F,1990-07-18,2010-10-12,
"Rina Tampubolon, SST",4,1,F,1990-07-23,2017-02-09,2024-05-23
Jaya Putra,23,2,M,1975-03-18,2010-07-25,
"M.Gz, Bella Rahman",11,1,F,2003-10-22,2024-04-04,2025-06-12
Rini Tampubolon,3,1,F,1998-06-29,2024-12-07,
Linda Hakim,4,1,F,1965-04-11,2005-10-07,
Taufik Gunawan,3,1,M,1976-12-10,1997-11-21,
"Maya Hermawan, Sp.Farm",9,1,F,1979-07-23,2007-01-10,
"Diana Siahaan, Ners",3,1,F,1965-06-03,1985-01-09,
"Made Pasaribu, MD",1,1,M,2001-07-01,2022-07-17,
"S.Ked, Linda Panjaitan",1,1,F,1969-02-13,1999-11-21,
"Dewi Priyanto, S.K3",25,2,F,1989-07-03,2022-05-24,2023-12-26
"Made Simanjuntak, Sp.Kep",3,1,M,1996-08-29,2022-05-13,
Diana Prabowo,19,2,F,1992-09-12,2010-10-01,
"Maya Hidayat, S.Tr.Kom",15,2,F,1969-09-10,1998-04-16,
"Silvi Gunawan, S.KM",25,2,F,2001-06-26,2022-08-03,
"Silvi Prasetyo, S.Tr.Kes",21,2,F,1990-05-18,2020-07-23,
"S.Ft, Sari Tampubolon",10,1,F,1998-06-09,2017-01-05,
"Dimas Lubis, A.Md.Kep",3,1,M,1984-06-27,2013-10-29,
Lestari Nasution,17,2,F,2003-01-22,2022-01-16,
"Hesti Siregar, Dr.",3,1,F,2003-03-16,2025-10-17,
Gunawan Nugroho,22,2,M,1999-08-29,2021-04-12,
"M.KM, Ani Wijaya",16,2,F,2002-05-20,2021-07-28,2022-08-14
"Ners, Mira Sugiarto",3,1,F,1997-07-19,2015-07-24,
"Fani Utomo, S.Farm",9,1,F,1990-11-13,2010-08-11,
"S.KM, Intan Simbolon",16,2,F,1982-12-06,2021-09-26,
"Bd., Diah Kusuma",4,1,F,1979-10-09,2004-02-11,
"S.Kep, Widya Santoso",3,1,F,1991-03-15,2018-07-12,2019-03-14
"M.Keb, Lestari Prasetyo",4,1,F,1965-10-26,2003-07-23,
"Kartika Nasution, dr.",1,1,F,1993-02-02,2015-11-15,
Citra Sinaga,24,2,F,1976-12-15,2010-10-24,
Agus Siregar,23,2,M,1986-05-29,2006-12-01,2018-03-17
Tiara Budiman,3,1,F,1988-04-10,2014-06-30,
"Kusuma Putra, A.Md",17,2,M,1984-11-22,2022-03-09,
"MBBS, Nadia Suprapto",1,1,F,1997-09-15,2021-12-01,
"Zahra Hidayat, RD",11,1,F,1989-06-17,2013-08-08,2023-05-24
"Eko Hartono, A.Md",17,2,M,2002-05-11,2023-10-24,
"S.Ft, Kusuma Widodo",10,1,M,1994-05-19,2016-10-08,
"Elia Sugiarto, Dr.",3,1,F,2001-03-01,2022-01-18,
"M.T, Hendra Hakim",15,2,M,1974-09-29,2011-02-08,
"M.M, Maya Panjaitan",13,2,F,1994-11-05,2015-03-08,
Endah Hermawan,20,2,F,1987-06-21,2008-11-12,
"Cahyo Priyanto, S.Tr.Kes",8,1,M,1991-07-05,2016-06-09,
"Irfan Sugiarto, A.Md",17,2,M,1983-05-03,2002-06-30,
"Jaya Sari, dr. Sp.P",2,1,M,1980-10-16,2013-08-13,
"A.Md.Kep, Sari Pasaribu",3,1,F,1965-07-14,1997-08-07,
"S.Sos, Maya Hermawan",17,2,F,1972-10-12,1996-04-13,2007-03-12
"Taufik Sugiarto, dr. Sp.PA",2,1,M,1997-04-09,2021-10-17,
"S.Kep, Gilang Situmorang",3,1,M,1992-01-29,2022-02-06,
Lestari Simbolon,20,2,F,1966-07-07,1984-11-11,
"Sp.Kep, Lukman Sinaga",3,1,M,1983-05-23,2003-12-01,
"Taufik Priyanto, M.T",13,2,M,1995-12-16,2016-01-15,
Dewi Saputra,3,1,F,1974-07-10,1993-03-10,
Sri Sinaga,23,2,F,1966-07-22,1997-04-02,
Dwi Hermawan,23,2,M,1986-01-28,2010-04-16,
"Endah Sugiarto, S.Gz",11,1,F,2001-12-09,2023-10-03,
Haris Nugroho,19,2,M,1997-04-03,2023-02-18,
Jaya Hakim,17,2,M,1965-07-31,1985-04-22,
"A.Md, Wawan Hidayat",17,2,M,1986-01-23,2024-02-20,
Lukman Prabowo,19,2,M,2002-08-16,2023-01-03,
"dr. Sp.PK, Candra Sari",2,1,M,1982-05-25,2003-09-10,
"Slamet Permana, Bd.",4,1,M,2003-01-30,2024-05-10,
"Fitri Rahman, dr. Sp.KK",2,1,F,1979-05-11,2001-02-14,
"Ade Purwanto, S.Kes",5,1,M,1967-10-13,2003-08-22,
"Haris Hidayat, Dr.",1,1,M,2002-09-27,2024-08-11,
Zahra Suprapto,3,1,F,1965-07-15,1983-12-19,
"Ayu Hakim, M.Kep",3,1,F,1970-06-28,1991-06-09,
"Iwan Malik, S.K3",25,2,M,1981-02-16,2015-08-24,
Fajar Prabowo,19,2,M,1968-05-15,1997-07-28,
"S.E, Wahyu Sari",18,2,M,1969-12-04,1987-04-14,
"M.M, Sinta Nasution",13,2,F,1969-04-21,1997-03-14,
"Dedi Suprapto, dr. Sp.F",2,1,M,1972-11-16,1995-03-07,
"A.Md.Rad, Linda Sitompul",7,1,F,1982-01-02,2021-09-28,
"MBBS, Linda Hermawan",1,1,F,1982-04-09,2019-04-07,
"Sari Lubis, Ners",3,1,F,1984-01-09,2012-09-21,
Lukman Saputra,4,1,M,1965-02-26,1989-12-31,
"Ningsih Wijaya, S.Tr.RMIK",16,2,F,1994-06-16,2015-04-11,
"S.T, Indah Hutabarat",15,2,F,1969-05-26,1997-09-16,
"Yanto Nugroho, A.Md.Kep",3,1,M,1980-10-01,2016-06-21,
Wulan Utomo,5,1,F,2002-12-11,2024-05-26,
"drg. Sp.Perio, Nadia Setiadi",2,1,F,1981-11-26,2009-07-24,
Gilang Purwanto,22,2,M,1992-12-07,2010-10-02,
Linda Raharjo,14,2,F,1981-01-08,2002-03-01,
"Wawan Budiman, S.Tr.ELM",6,1,M,1970-04-14,1996-09-13,
"Ahmad Hutapea, Drs.",13,2,M,1993-02-01,2012-09-01,
"S.T, Nanang Hermawan",13,2,M,1982-07-11,2010-02-25,
Ahmad Suryanto,14,2,M,1975-07-27,1995-05-11,
"S.Ft, Rina Susanto",10,1,F,1992-08-28,2022-03-17,
"Sari Sinaga, M.T",15,2,F,2002-11-01,2020-11-17,
"Sp.Kep, Tiara Setiadi",3,1,F,1967-04-26,2007-06-30,
Intan Permana,17,2,F,1980-07-08,2013-11-16,
"Retno Utomo, A.Md.ELM",6,1,F,1984-03-03,2005-10-12,
"S.Sos, Wati Permana",17,2,F,1983-12-31,2004-09-03,
"Yanto Simanjuntak, Dr.",3,1,M,1985-06-21,2018-03-10,
Ika Sugiarto,1,1,F,1969-01-24,2009-10-06,
Maya Putra,5,1,F,1974-11-06,2000-08-20,
"Dewi Firmansyah, A.Md.Kes",5,1,F,1968-09-22,2001-04-13,
Usman Panjaitan,20,2,M,1975-01-17,2007-05-01,2013-04-07
"Gilang Hartono, S.Tr.ELM",6,1,M,1997-08-27,2022-04-13,
"Ahmad Rahman, S.Kes",5,1,M,1993-09-30,2015-11-02,
Joko Putra,20,2,M,1991-04-22,2019-11-09,
"drg. Sp.Perio, Anisa Prasetyo",2,1,F,1988-10-09,2007-02-03,
"MD, Retno Sugiarto",1,1,F,1990-05-04,2017-10-31,
"Sp.Kep, Yuni Hermawan",3,1,F,1986-03-16,2021-09-03,
"Novita Putra, M.Ft",10,1,F,1991-02-07,2018-11-21,
"Ners, Rina Prabowo",3,1,F,1983-09-16,2001-07-07,
Bambang Sitompul,20,2,M,1982-04-04,2004-05-09,
"SST, Dewi Hidayat",4,1,F,1986-10-02,2013-11-21,
"Dr., Mahendra Hutabarat",1,1,M,1978-10-13,2000-12-28,
Dwi Prabowo,19,2,M,1968-09-08,2002-05-14,
"S.T, Oki Rahman",15,2,M,1972-05-05,2008-03-04,2013-11-09
"dr., Sari Budiman",1,1,F,1965-10-06,1998-08-02,
"Gilang Raharjo, M.M",17,2,M,1988-09-07,2022-02-10,
"S.Kep, Fani Wibowo",3,1,F,1983-11-29,2005-10-31,
"Sp.Kep, Wulan Pasaribu",3,1,F,1987-09-01,2006-11-07,
"MBBS, Novita Kurniawan",1,1,F,1997-09-04,2015-02-17,
"M.Ked, Sinta Wijayanto",1,1,F,1970-11-28,2007-10-19,2013-07-31
"dr. Sp.JP, Wawan Situmorang",2,1,M,1985-11-02,2009-03-16,
"Bd., Wati Susanto",4,1,F,1992-10-11,2011-08-30,
Gilang Hutabarat,14,2,M,1999-11-01,2019-09-09,2022-11-10
"A.Md.Kes, Hesti Nasution",8,1,F,1966-01-02,1996-05-12,
Zara Santoso,3,1,F,1986-06-01,2019-01-29,
"Ners, Yuni Nasution",3,1,F,1984-01-11,2021-06-20,
Usman Widodo,23,2,M,1990-03-09,2017-07-03,2018-07-09
"Dr., Tri Raharjo",3,1,F,1986-09-04,2006-09-20,
"Widya Suryanto, S.Ft",10,1,F,1969-08-26,2004-10-23,2008-06-11
"Sp.Kep, Dedi Putra",3,1,M,1991-08-29,2012-08-25,2022-10-19
"Yuliana Nugroho, Bd.",4,1,F,1986-05-23,2013-11-29,
"Mahendra Hutabarat, dr.",1,1,M,1989-11-18,2021-06-28,
Joko Wijaya,6,1,M,1980-11-22,2017-05-16,
"Fani Hutabarat, S.Kes",5,1,F,1966-12-22,2001-04-27,
Nanang Nasution,9,1,M,1992-12-03,2022-07-20,
Vina Kusuma,3,1,F,1998-04-04,2018-06-08,2022-09-16
"Lina Santoso, S.KM",25,2,F,2002-02-26,2025-02-19,
"Ners, Eko Malik",3,1,M,1987-07-05,2007-02-06,
Sari Maulana,3,1,F,1979-08-09,2018-10-28,
Prasetyo Hutabarat,20,2,M,1968-04-04,2002-07-22,
"Indra Permana, S.E",18,2,M,1974-08-18,2002-02-06,
Yuni Prasetyo,3,1,F,1975-11-12,2002-12-20,
Fajar Suprapto,24,2,M,1979-12-22,2019-07-11,
Fajar Sitompul,1,1,M,1997-12-08,2016-01-21,
"MBBS, Lina Pratama",1,1,F,1987-10-05,2010-12-27,
"Farhan Situmorang, dr. Sp.P",2,1,M,1982-11-12,2004-12-20,
"Sp.Kep, Novita Purwanto",3,1,F,2002-11-15,2020-03-22,
"S.Si, Kusuma Hermawan",8,1,M,1990-10-05,2009-09-07,
"Ningsih Budiman, S.KM",14,2,F,1980-10-06,2019-07-03,
"Zulkifli Raharjo, Ners",3,1,M,1967-06-16,2006-03-18,
Slamet Wijaya,1,1,M,1990-03-13,2013-02-16,
"M.K3, Bella Malik",25,2,F,1975-06-06,2013-03-21,
"Sp.Kep, Sri Wibowo",3,1,F,1988-04-07,2015-07-09,
Tri Hidayat,3,1,F,1976-07-25,1997-07-31,
"Bd., Citra Malik",4,1,F,1979-02-12,2013-08-29,
"S.T, Oki Maulana",15,2,M,1997-11-22,2019-09-04,
"Intan Raharjo, dr. Sp.KJ",2,1,F,1978-02-20,2000-11-30,
"Usman Panjaitan, S.Ked",1,1,M,2001-12-31,2023-08-12,
Anisa Wijaya,23,2,F,1982-11-30,2016-10-16,
"A.Md.Kes, Maya Pasaribu",5,1,F,1986-05-29,2004-08-24,
Wulan Hermawan,3,1,F,2003-11-14,2025-07-10,
"Dr., Yuliana Situmorang",1,1,F,1982-05-31,2018-04-23,
"Yuni Budiman, Sp.Kep",3,1,F,1982-08-15,2021-05-13,
"S.Kep, Yuliana Lubis",3,1,F,2002-02-15,2022-12-02,
"M.Adm.Kes, Retno Hermawan",13,2,F,1982-06-09,2013-02-08,
"Jaya Wijayanto, A.Md",17,2,M,1975-02-25,1998-10-27,2002-09-30
"Intan Nugroho, Ners",3,1,F,1994-07-28,2020-02-04,
Nugroho Tampubolon,21,2,M,1970-04-07,2010-11-02,
"M.M, Wulan Hutapea",13,2,F,1991-09-22,2022-04-17,
Zahra Lubis,23,2,F,1970-03-25,2002-06-25,
"Mega Simbolon, S.Tr.Kes",21,2,F,2000-05-01,2020-02-27,2024-04-16
"A.Md.Kep, Joko Santoso",3,1,M,1990-01-19,2023-10-03,
"M.Kep, Ayu Permana",3,1,F,1989-02-15,2019-07-16,2022-06-02
Diana Panjaitan,3,1,F,1979-02-20,2001-04-30,
"Novita Gunawan, S.Ft",10,1,F,1979-07-22,2007-06-21,
Mira Saputra,23,2,F,1966-11-23,1997-06-09,
Cahyo Hartono,22,2,M,1976-12-20,2004-10-03,
"M.Farm, Purwanto Kurniawan",9,1,M,1999-12-11,2018-08-08,
"Rudi Simbolon, A.Md",17,2,M,1992-06-22,2021-10-18,
"A.Md.Kes, Prasetyo Kurniawan",12,1,M,1991-07-05,2013-03-28,
"drg. Sp.Pros, Sari Simbolon",2,1,F,1988-09-12,2014-10-22,
"S.Kep, Vina Sitompul",3,1,F,2003-07-25,2022-12-21,
"S.Adm, Hesti Hakim",17,2,F,1997-09-06,2015-02-18,2025-12-05
Rudi Widodo,20,2,M,1995-05-18,2019-09-06,2020-09-17
"Citra Hakim, Sp.Kep",3,1,F,1966-06-20,2004-05-17,
"Ika Simanjuntak, M.M",17,2,F,1968-03-17,2003-07-28,
"Lukman Suryanto, dr. Sp.RM",2,1,M,1984-04-04,2012-02-28,
"Yanto Putra, S.T",6,1,M,1976-09-27,1999-04-17,
"Kartika Lubis, A.Md",17,2,F,1976-11-10,2013-08-29,
"A.Md.Kep, Sinta Sitompul",3,1,F,2000-12-06,2023-03-09,
"drg. Sp.Ort, Diana Susanto",2,1,F,1969-11-16,1989-07-13,1999-05-09
Kusuma Nasution,14,2,M,1973-04-21,2010-12-25,
"dr. Sp.B, Dewi Hermawan",2,1,F,1969-04-09,1995-11-22,
"Maya Suryanto, M.Kes",5,1,F,1976-01-21,1998-10-26,
"Linda Sari, S.E",17,2,F,2001-07-02,2022-10-26,
Gilang Sari,20,2,M,1992-03-19,2023-10-19,
Rina Suprapto,20,2,F,1998-08-02,2022-03-30,
"Jaya Pratama, M.Keb",4,1,M,1991-09-07,2020-03-28,
"S.Kep, Lukas Wijaya",3,1,M,1977-01-20,2001-01-28,
"Rina Siregar, S.Kep",3,1,F,1974-03-24,1996-07-15,
"M.KM, Mira Prasetyo",16,2,F,1988-10-18,2016-04-18,
"S.Kep, Purwanto Wijaya",3,1,M,1989-02-11,2021-09-22,
"Linda Budiman, S.Tr.ELM",6,1,F,1992-09-18,2016-08-28,2017-01-06
Candra Wibowo,19,2,M,1987-07-12,2020-06-15,
"Dedi Wijayanto, drg. Sp.Ort",2,1,M,1972-08-07,2003-01-08,
"A.Md.Kep, Novita Utomo",3,1,F,1995-02-21,2020-05-04,
Nadia Sitompul,20,2,F,1971-04-09,2001-12-21,
"Dra., Mega Utomo",13,2,F,1985-02-05,2017-08-15,
"Bella Hutapea, S.Kom",15,2,F,1992-12-19,2016-10-21,
Hendra Wijayanto,19,2,M,1986-06-25,2023-02-27,
"Drs., Indra Simbolon",13,2,M,1971-11-20,2007-07-18,
Hesti Hartono,20,2,F,1978-07-12,2015-11-29,
"S.Kep, Ningsih Maulana",3,1,F,1975-09-24,2012-05-05,
Yanto Setiawan,22,2,M,1983-04-11,2002-10-15,
"Maya Simanjuntak, Sp.Kep",3,1,F,1968-07-24,1992-09-03,
"Rudi Permana, MBBS",1,1,M,1981-09-27,1999-01-23,
Joko Panjaitan,11,1,M,1985-04-07,2024-07-12,2025-06-13
"S.Ked, Fajar Simbolon",1,1,M,1979-09-03,2018-01-03,
"M.Kep, Linda Kusuma",3,1,F,1977-12-03,2002-11-07,
Taufik Priyanto,5,1,M,1981-01-16,2008-04-08,
"Apt., Linda Malik",9,1,F,1968-06-12,1987-12-19,
"Widya Hakim, SST",4,1,F,1992-06-20,2020-05-13,
Vina Purwanto,21,2,F,1997-07-24,2020-10-23,
"Fitri Sinaga, M.Keb",4,1,F,2002-08-18,2024-12-23,
Hesti Wijayanto,3,1,F,1986-04-05,2011-07-03,
"Mira Saputra, M.M",13,2,F,1993-04-23,2024-02-23,
Sari Pratama,12,1,F,1991-06-12,2012-09-27,
"Usman Utomo, A.Md.Kes",21,2,M,1998-01-08,2025-10-19,
"Kurniawan Lubis, S.Adm",17,2,M,1990-09-04,2013-09-04,
"Yuliana Hartono, MBBS",1,1,F,1995-09-06,2023-01-17,
Sri Suprapto,20,2,F,1972-04-27,2011-10-05,
Jaya Sinaga,3,1,M,1966-06-14,1986-02-09,
"S.Kep, Anisa Panjaitan",3,1,F,1986-06-09,2013-08-09,2015-12-12
"Tuti Wijaya, M.T",13,2,F,1987-07-03,2014-04-22,
"M.T, Lukman Wibowo",13,2,M,1981-10-20,2005-03-28,
"M.Ked, Bambang Prabowo",1,1,M,1992-11-21,2022-07-28,
Nugroho Setiawan,12,1,M,1994-10-08,2016-10-04,
Ratna Hidayat,3,1,F,1992-08-25,2012-07-27,
"Dimas Widodo, S.Sos",17,2,M,1992-12-30,2016-08-05,
"Yoga Suryanto, M.Kep",3,1,M,1992-11-30,2024-04-05,
"Teguh Tampubolon, A.Md.Keb",4,1,M,1976-03-25,2007-11-26,
